Author,Rating,Review,Restaurant,Location,Label,Language
Jun Quan Hock Cheong,3," Harga: 4/5Senang: 3/5Suasana: 3/5

Alam Semulajadi: 3/5

Alam Semulajadi: 3/5

Alam Semulajadi: 3/5

Alam Semulajadi: 3/5

Alam Semulajadi: 3/5

Alam semula jadi: 3/5

Alam semula jadi: 3/5

Alam semula jadi: 3/5

Alam semula jadi: 3/5

Alam semula jadi: 3/5

Alam semula jadi: 3/5

Harga: 4/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga: 3/5

Harga",Gui Yuan Restaurant,JB,Neutral,Malay
Kevin Kam (甘忠禾),1," Perkhidmatan yang buruk, saya pernah memanggil tiga kali dan tidak pernah datang ke perkhidmatan, lupa pesanan dan terus menunggu dan menunggu. Ia tidak baik. Saya telah memesan dan meminta maaf kerana tidak pernah datang ke perkhidmatan.",Mount Austin One Two Eat Cafe,JB,Negative,Malay
月静湖,4,"Environment and sales are good, average taste",The Brazzo House,JB,Positive,English
Bi Cuifen,5,I like naan cheese here. The dough is nice and soft. There’s so manly people here also. The price also good and the service quick. Love this place so much.,Pak Putra Restaurant,Melaka,Positive,English
Stella Yu,4,"Good food, enjoyed n finished every dish.",TUCK KEE RESTAURANT SDN. BHD.,Ipoh,Positive,English
Maurice Dekker,5,"Tried the Life spicy wonton and some noodles, food is verry good. Service is fine, space to sit outside and inside, cheap and good oriental place.",人間茶坊之老店 Life Cafe @ Padungan,Kuching,Positive,English
Vishnu Rao,4,Food is quite good,Selvam Restaurant,Melaka,Positive,English
Letha Shaferry Binel,5,Awesome choices of signature drinks and astounding desserts,Fish and Chips by Bareeseta,Ipoh,Positive,English
Syed Tarmizi Syed Shazali,5, Hidangan Barat yang hebat! A+++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A++A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A+A,Carvery,Kuching,Positive,Malay
lunia mikah,5,Eat here for the secluded dining experience and great price!,Gozen Japanese Restaurant,JB,Positive,English
Prakaash Gunasengaran,5,Breakfast very delicious,Amma Restaurant,JB,Positive,English
Nathan Rajoo,4, Sangat baik kari laksa curry laksa yang sangat baik.,W.W. Laksa House 水塘。辣沙,JB,Positive,Malay
Usha Ram,4," Makanan yang berpatutan, sedap. Pelbagai jenis, bahagian besar. Sangat sedap.",Padi House Greentown Ipoh,Ipoh,Positive,Malay
Magie Hogan,5,Amazing vegan food! Really cool social enterprise cafe. A gem in Ipoh! Don’t miss it ;),Vegan Delights Cafe,Ipoh,Positive,English
aieffie khalil,5, Tempat legenda untuk kekasih mi kolok. Rasa adalah salah satu jenis dan tempat yang wajib untuk orang pergi. Ia adalah satu-satunya tempat yang wajib untuk orang pergi. Rasanya adalah satu-satunya dan satu-satunya tempat yang wajib untuk orang pergi.,Mi Sapi / Mi Kolok Haji Salleh @ Sepinang Sari,Kuching,Positive,Malay
Felicia John,5,Delicious. Helpful staff. Great environment. Worth every penny!,Ken’s Kitchen Kuching,Kuching,Positive,English
Francis Teo,4, Tempat yang bagus di tengah hari untuk bersantai dengan siri teh serbuk keju yang ditandatanganinya... Oolong serbuk keju itu cukup baik dan serbuk keju tidak terlalu berlebihan. Ia tidak terlalu berlebihan.,Infinitea 茶狐,JB,Positive,Malay
andrew cham,3,Tandoori chicken too rare for my personal taste. Dhal needa to improve.,Pak Putra Restaurant,Melaka,Neutral,English
Cica Chopra,2,"The workers(90% are Nepal ) are so clueless about the menu & price, I speak in Malay they said they cannot understand, so I speak in English also they don't understand .... I speak proper English coz I don't know how to speak Nepal English,",Black Canyon Coffee Jusco Tebrau City,JB,Negative,English
Myra Rani,5,Fast n awesome,Sung Heng Cafe,Kuching,Positive,English
番茄炒蛋,3," Tidak banyak pilihan, pilihan tidak banyak pilihan.",Fish and Chips by Bareeseta,Ipoh,Neutral,Malay
San Hari,5,Food simply nice,Village Briyani Cafe,JB,Positive,English
JOE JOE,3, Makanan yang sedap dan makanan yang baik.,Restaurant Pusing Public,Ipoh,Neutral,Malay
hidayat yusof,5,Best food,Medan Selera Tepian Tebrau,JB,Positive,English
Ivan Ling,5,Absolutely fantastic!,Razzmatazz Bistro Bar,Kuching,Positive,English
mardhiah 101,4,"4/5 , Spicy yangyeom chicken And Tuna Rice ball Every time fav. This two is legend !",K Fry Urban Korean Holiday Villa,JB,Positive,English
Bob Jin,5,Stall no 17 n 25 excellence cookings,Medan Selera Tepian Tebrau,JB,Positive,English
YAP FEI LEONG,4," Makanannya ok... mungkin ada begitu ramai orang pada tahun baru, makanannya tidak sedap dan tidak sedap. Makanannya tidak sedap dan tidak sedap. Makanan ini tidak sedap dan tidak sedap.",Sin Hup Kee Restaurant,Ipoh,Positive,Malay
iam fikoso,4, Mahal untuk membeli barang.,Plan B (Ipoh),Ipoh,Positive,Malay
Desmond Ng,4,Nice choice of food especially Kolo Mee and Laksa,On 3 Kopitiam,Kuching,Positive,English
Nor Haniza Mohamad,5,Delicious lunch. Nasi Pecel Lele and Pepes Ayam.  Have tried other dishes too and they always met my expectations. Easily located. Limited parking spaces have never deterred guests to drop by.,Restoran LC Catering Sdn Bhd,JB,Positive,English
Maledicta80,3, Makanan adalah berkualiti.. Tetapi harganya agak tinggi.. Harga agak tinggi.. Harga agak tinggi..,7 Spice,JB,Neutral,Malay
Matt Zhang,4,"Great place for local Chinese food..Fresh,and service is fast..Clean environment also..",Sun Marpoh Restaurant,Ipoh,Positive,English
Lili Chia,4,The portion is smaller than the new tuck kee. Anyway the food is nice.,Ipoh Tuck Kee Restaurant 德记炒粉专门店,Ipoh,Positive,English
TimFatt Tim,3,Good,Gui Yuan Restaurant,JB,Neutral,English
William Sim,5,The food & service r nice,Alfresco,Kuching,Positive,English
Jivaraj,3,Good food. Cheaper than other seafood restaurant but pls ask waiter to repeat order to confirm right food is ordered (ordered salted egg fried squid but came ginger squid with salted egg). Good for family dining. Well recommended place.,Fisherman Seafood,Kuching,Neutral,English
Sk Yeo,4,Food ok and reasonable,Seng Steam Fish Restaurant,JB,Positive,English
CL Pui,5, Saya telah berada di sini untuk kali kedua dan masih terkejut dengan kualiti makanan mereka. 👍🏻🏻,The Baboon House,Melaka,Positive,Malay
Louiseiana B.,3,"Food was expensive, portion was small, and quality was decent (questionable whether it has been microwaved since curry was like glue and meat was dry and chewy. But the crisps were nice)",Restaurant D' Tandoori House,Melaka,Neutral,English
Hannul Asyiqin,4, Perkhidmatan pantas perkhidmatan cepat.,Restoran Kacang Pool Haji,JB,Positive,Malay
Boon,5,The pork belly burger is a guilty pleasure to have...,The Baboon House,Melaka,Positive,English
Lucretia Mazzeschi,1," TERIMA KASIH UNTUK NEGARA KITA

Baiklah...

Selamat datang ke negara KITA

Baiklah...

Terjemahan:

-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-",Coppola Pizza Restaurant,JB,Negative,Malay
Patah Kan Saja,5,delicious pool beans. (red beans swimming) broken with bread. combined with the taste of goat and meat plus eggs make it a must-taste food,Restoran Kacang Pool Haji,JB,Positive,English
fred michael,4," Sangat bagus. Harga yang berpatutan. Kuantiti yang mencukupi. Saya mesti katakan, walaupun begitu, pelanggannya lebih cantik ;)",ChokDee Thai Restaurant,JB,Positive,Malay
Kevin Anthony,5,Amazing food!,Kafe Yoon Wah 元华饮食阁雪花啤酒,Ipoh,Positive,English
Siti Zarina,4,Everything ok. Cosy place. But waiter didn't friendly at all 😾😾😾,Dulang Lima Cafe,JB,Positive,English
Jeremy Kuyah,5,"Nice place for lunch, but expect it to be full/lots of customer during lunch time. Delicious fast food with wide variety of choices. The watermelon longan juice is a must-try!",Country Kitchen 家鄉小廚,Kuching,Positive,English
boon Teck,5,Good food. So far the best nyoya food,Nyonya 63,Melaka,Positive,English
HY C,3," Bangunan lama sangat terasa. Kopi dan mi kari wonton. Hanya saja, beberapa pekerja tidak terlalu ramah dan tidak terlalu ramah. Mereka tidak terlalu ramah dan tidak terlalu ramah. Mereka tidak terlalu ramah dan tidak terlalu ramah.",Lim Ko Pi,Ipoh,Neutral,Malay
レミィRemmy,4,"Looking for a Hip place to chill on a weekend, look no further People & Place Cafe is the place to be... (Seriously....) the foods served are healthy and great! Coffee is above average... only downside is the music system is a lil bit too loud sometime... other than that this place is amazing!",People & Places Cafe,JB,Positive,English
Xinrhung Loh,4," Restoran Korea yang bagus di Korea Nice, restoran Korea yang bagus.",Jeju KOREA BBQ Restaurant,JB,Positive,Malay
Tan.M. Zyenh,4,One of the oldest Dim Sum place that i have in Ipoh and it taste still remain,Foh San Restaurant,Ipoh,Positive,English
Patrick Toh,3,More for the experience than the taste.,Nasi Ayam Hoe Kee,Melaka,Neutral,English
wee ming kong,3,No much choice,Hi hotpot buffet,Kuching,Neutral,English
David Goh,5,Thank you for giving us a fantastic evening dinning experience with your friendly staffs and able to fulfill our request. We liked your Char View & fried eggplant with oat very much. We will definitely be back again.,Kitchen Iron Rice Bowl Sdn Bhd.,Ipoh,Positive,English
Amr Khalil,5,Very delicious food and big dishes.  Has all kind of food includ pizza,Olive Kitchen Bar Puteri Harbour,JB,Positive,English
Heng Mj,3,"Clean, taste ok, price ok.",Teo Soon Loong Seafood Restaurant,Melaka,Neutral,English
Ayu QSurveyor,5,Good & fast service 👍👍,Mat Corner Nasi Ambang,JB,Positive,English
Ammar Hazard,1,Poor service..,Siam House Restaurant,JB,Negative,English
Boon WP,3, Makanan ini sangat sedap.. Sedap sikit.. Sangat mahal.. sedikit mahal..,Padi House Greentown Ipoh,Ipoh,Neutral,Malay
Clara Chong,3,"The DIY spring rolls experience is very different and taste pretty delicious.A platter of different meat and egg with vege which comes with two types ,",越南小廚 V NAM KITCHEN,Ipoh,Neutral,English
Vimala Devi Vijayan,3,"Good Ambiance, Food is not up to the price and standard",Seasons Cake House,JB,Neutral,English
Dragon celica,4,The food is nice .,Happy Union Restaurant Sdn Bhd,JB,Positive,English
Vwarane SR (Vicky),3," Restoran makanan India terbaik di Little India Ipoh. Perkhidmatan pelanggan yang cepat, makanan yang sedap, bersih dan harga sangat berpatutan. - Diperolehi pada September 2019. - Diperolehi pada September 2019. - Diperolehi pada September 2019. - Diperolehi pada September 2019. - Diperolehi pada September 2019. -",Restaurant Sri Aryaa Bhavan Ipoh,Ipoh,Neutral,Malay
김동걸 (cooljeff12),4, Suasana yang baik dan layanan yang mesra... Draf bir betul. Draf bir betul. Draf bir adalah betul.,New Zealand Unlimited,JB,Positive,Malay
Derrick Tan,1," Sebuah restoran yang berkaitan dengan rantai Dragon-I, kedai ini penuh dengan kesesakan walaupun kita tiba tepat selepas waktu makan tengahari biasa. Walaupun kita tiba tepat selepas waktu makan tengahari biasa.",Canton-i Restaurant @ Johor Bahru City Square,JB,Negative,Malay
Sock Khuan Ng,3,Average dim sum,Gui Yuan Restaurant,JB,Neutral,English
KJYee,2,"Gave this place a try since the other restaurant was close. Was disappointed. The rice ball and chicken was some what tasteless and the chilli sauce, not sure if there is chilli in it at all, can't taste the spiciness at all. There were",Nasi Ayam Hoe Kee,Melaka,Negative,English
Pewmew 69,4, Telur panggang yang baik. Tembikai yang dipanggang.,Restaurant Sun Yeong Wai (Medan Ipoh Branch),Ipoh,Positive,Malay
Marcus Lim,4,"The dry noodles taste good, and it has everything with a bowl of soup. laksa seems to have been around for a long time, bacon bread has become a local speciality",Hon Hin Cafe,Kuching,Positive,English
Zuhari Hatwie,4,Have to wait a bit for the food to arrive,Mi Sapi / Mi Kolok Haji Salleh @ Sepinang Sari,Kuching,Positive,English
Xavier Gaubert-Amy,5,"Super cute smoothie coffee shop in the heart of Ipoh old town. It's part of a range of trendy boutique shops, selling home made drinks, and food, decorated and designed with a lot of taste. The furniture are bric ans broc, second hand",Aud's Cafe,Ipoh,Positive,English
Hui Xin Wong,5," Harga tidak mahal, makanan sedap, perkhidmatan baik, dan ada tempat letak kereta khas disediakan untuk pelanggan di sebelah yang bertentangan, sangat intim...",Lim Ko Pi,Ipoh,Positive,Malay
lee chin tung,4,The best tomato Kueh teow in kuching,Hui Sing Open Air Hawker Centre Food Court,Kuching,Positive,English
Nik Mohd Fikri Mhd Nor,4,I luv briyani ... as much Mandi lamb ...,Pakeeza Restaurant & Catering,Ipoh,Positive,English
Arceus Col,1," Terlalu mahal, perkhidmatan sangat perlahan dan sangat perlahan.",Molten Chocolate Cafe Dataran Pahlawan,Melaka,Negative,Malay
phoenixray,5,Authentic food taste. Nice ambience,Rock Bottom Malacca,Melaka,Positive,English
Chuo SN,5,Nice food,BBQ KING Seafood (Jalan Song),Kuching,Positive,English
mahmoud fawzy,5,"great taste, especially the lamb meat.",Big Food F&B - Taman Nong Chik,JB,Positive,English
Khairunatasha Abu bakar,5," Makanannya sedap dan sedap, semua kakitangan sangat mesra. Saya sangat suka, terima kasih!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",K Fry Urban Korean Holiday Villa,JB,Positive,Malay
Lim Chai,5,This is a nice nonya food restaurant. The food is nice but spicy. The portion is generous and the price is very reasonable. Should give this a try if you are here.,Restoran Nyonya Makko,Melaka,Positive,English
Ethan,4," Minuman agak mahal, harganya agak mahal.",Porkie's By Flavours,Kuching,Positive,Malay
Cheah Kwan Loon,4, Mempunyai turki yang baik untuk Krismas. Saya ingin mengucapkan selamat Hari Raya.,David's Diner,Ipoh,Positive,Malay
NARVINPAL SEKHON,5, Makanan India yang hebat dengan harga yang berpatutan...,Ashoka Curry House,JB,Positive,Malay
Dayana Rose,4,Had planned for a one to one talk with my girl.so decided to take a less crowded seat. Found one at the corner on the way up to the 2nd floor. Eventhou it's outside its pretty chill to have a meal with big glass windows and garden of flowers at ur sides.  The food was fine.,Big Food F&B - Taman Nong Chik,JB,Positive,English
Cindy Ho,4,"Merry Christmas dinner, foods are delicious.",Yaoki Japanese Foods Sdn. Bhd.,JB,Positive,English
Timothy Lee,4,Legend has it is that the Matterhorn was created in these very premises.,Hui Sing Open Air Hawker Centre Food Court,Kuching,Positive,English
HUSZALINA BINTI HUSSIN FBME,5," Disyorkan untuk kacang pool, tandatangan chef..",Restoran Kacang Pool Haji,JB,Positive,Malay
Coeq De Buglady,4,Preeloved Books Cafe i must say ..nice food 😌,Le Parlour Cafe Studio,Kuching,Positive,English
Toh Boon How How,5,Very tasty and cheap,Fisherman Seafood,Kuching,Positive,English
Chan Bobby,4, Makanan yang baik dan sangat bersih dan sangat bersih. Sangat bersih dan sangat bersih.,Restaurant Pusing Public,Ipoh,Positive,Malay
NAS NAS,5, Tempat yang menarik! Tempat yang menarik!,Plan B (Ipoh),Ipoh,Positive,Malay
Portfolio Asia Properties 60122079593,4,Char Siew & Roast Chicken is good,Restoran Nasi Ayam Pak Kong,Ipoh,Positive,English
Glue Da,4," Tempat yang baik untuk bersantai/berjalan jika tidak bagus. Saya telah memesan Quesadilla Brekkie, dan rasanya yang baik dan saiz hidangan yang baik untuk saya tetapi sangat besar untuk pelanggan kecil. Kopi sedap dan perkhidmatannya sangat baik! Semua kakitangan menghidangkan makanan dengan senyuman di wajah mereka. Tetapi barisan mereka sangat sibuk, jadi bersedia! Jadi, bersedia! Sila bersedia! Tetapi barisan mereka sangat sibuk. Tetapi barisan mereka sangat sibuk. Jadi, bersedia!",People & Places Cafe,JB,Positive,Malay
Cc Tang,3," Terdapat banyak gerai makanan laut yang berbeza, yang kami cuba, ia segar, tetapi masakannya tidak begitu sedap. Memusnahkan makanan laut.",Topspot Food Court,Kuching,Neutral,Malay
Desmond Yeoh,5,Great value. Authentic Northern Indian food.,Anderson Curry House,Ipoh,Positive,English
Lina Jamaludin,1,Poor food quality despite the nice presentation. Do not order the poke bowl as the rice is severely undercooked. Regret.,Tropique Café & Restaurant,JB,Negative,English
piranha legacy (PIRANHALEGACY),5,"Good place for dining indian cuisine. Pricey but worth the fill. Neat ,clean, A/C . Family friendly dining.",Restaurant D' Tandoori House,Melaka,Positive,English
Bong Shiaw Kong,3,Good food but a bit pricey.,Al Dente,Kuching,Neutral,English
Carol D,5," Mereka mempunyai pelbagai jenis dim sum. Kami telah menjadi restoran dim sum kegemaran keluarga kami selama bertahun-tahun. Jika anda ingin dim sum yang baik, ini adalah tempatnya. Jika anda ingin dim sum yang baik, ini adalah tempatnya. Jika anda ingin dim sum yang baik, ini adalah tempatnya. Jika anda ingin dim sum yang baik, ini adalah tempatnya.",Tasixi Hong Kong Dim Sum,JB,Positive,Malay
Kw Tan,4,Weekdays are good to come due to less crowded. Food quality is assured and service is prompt.,Tasixi Hong Kong Dim Sum,JB,Positive,English
Nazri Mohd,5, Banyak makanan yang boleh anda cari di sana. Terdapat banyak makanan yang boleh anda cari di sana.,RJ Cafe @Satok,Kuching,Positive,Malay
Billy Foo,4,"Delicious mutton soup, worth trying",Restoran E&Y,JB,Positive,English
Tim Donovan,5, Rasa pub lama yang bagus. Perkhidmatannya baik seperti makanannya. Tempat yang bagus untuk minum beberapa minuman dan melihat ke seberang sungai. Terima kasih atas makan tengahari yang indah :) :) Terima kasih atas makan tengahari yang indah :) :) Terima kasih atas makan tengahari yang indah :) Terima kasih kerana makan tengahari yang cantik :),Sid's Pub @ Jonker’s,Melaka,Positive,Malay
Mohamed Omar Basri,3,Good,Dapo Cafe - Makanan Kelantan.,Kuching,Neutral,English
馮䳟嬑,5,"Although the price of the full buffet is expensive, the advantage is that you can choose unlimited dishes. As long as the foodies can eat, you can eat all you need. In addition, the semi buffet is reasonably priced",Kage Sushi,JB,Positive,English
Thee Meng Leong,4,Okay,Euro House,Ipoh,Positive,English
Adeline Ong,4, Ayam Juicy. Masih dibuka pada pukul 3 petang. Masih dibuka pada pukul 3 petang. Masih dibuka pada pukul 3 petang. Masih dibuka pada pukul 3 petang.,Chicking Eating House,Kuching,Positive,Malay
Winnie Lee,4,Foods are delicious and in reasonable price.,Fook Xing Seafood Sdn. Bhd.,Kuching,Positive,English
